course_id,course_name,type,credits
CFOC327M,Basic Thermodynamics : Classical and Statistical Approaches,theory,3.0
CFOC328M,Medicinal Chemistry,theory,3.0
CFOC329M,"Design, Technology and Innovation",theory,2.0
CFOC330M,Geographic Information System,theory,3.0
CFOC331M,Product Design and Innovation,theory,1.0
CFOC332M,Fundamentals of Automotive Systems,theory,3.0
CFOC333M,Electronics Equipment Integration and Prototype Building,theory,2.0
CFOC334M,"High Power Multilevel Converters-Analysis, Design and Operational Issues",theory,3.0
CFOC335M,"Fuzzy Sets, Logic and Systems and Applications",theory,3.0
CFOC336M,Transmission Lines and Electromagnetic Waves,theory,3.0
CFOC337M,Digital IC Design,theory,3.0
CFOC338M,Signals and Systems,theory,3.0
CFOC339M,Power Management Integrated Circuits,theory,3.0
CFOC340M,DC Power Transmission Systems,theory,3.0
CFOC341M,Microprocessors and Interfacing,theory,3.0
CFOC342M,Design and Simulation of Power Conversion using Open Source Tools,theory,1.0
CFOC343M,"Integrated Circuits, MOSFETs, OP-Amps and their Applications",theory,3.0
CFOC344M,Electronic Systems for Cancer Diagnosis,theory,3.0
CFOC345M,Principles of Signals and Systems,theory,3.0
CFOC346M,Principles of Communication Systems - I,theory,3.0
CFOC347M,Principles of Digital Communication,theory,3.0
CFOC348M,Electric Vehicles - Part 1,theory,1.0
CFOC349M,Nonlinear Adaptive Control,theory,1.0
CFOC350M,Antennas,theory,3.0
CFOC351M,Multirate DSP,theory,3.0
CFOC352M,Control Engineering,theory,3.0
CFOC353M,Introduction to Photonics,theory,3.0
CFOC354M,Microwave Integrated Circuits 2,theory,2.0
CFOC355M,Analog IC Design,theory,3.0
CFOC356M,Analog Circuits,theory,3.0
CFOC357M,Advance Power Electronics and Control,theory,2.0
CFOC358M,CMOS Digital VLSI Design,theory,2.0
CFOC359M,Analog Circuits and Systems through SPICE Simulation,theory,3.0
CFOC360M,Discrete Time Signal Processing,theory,2.0
CFOC361M,Digital Electronic Circuits,theory,3.0
CFOC362M,Fundamentals of MIMO Wireless Communication,theory,2.0
CFOC363M,Spread Spectrum Communications and Jamming,theory,3.0
CFOC364M,Basic Building Blocks of Microwave Engineering & Design Principles of RF and Microware filters and Amplifiers,theory,2.0
CFOC365M,Evolution of Air Interface towards 5G,theory,2.0
CFOC366M,Architectural Design of Digital Integrated Circuits,theory,3.0
CFOC367M,Electrical Machines - II,theory,3.0
CFOC368M,Medical Image Analysis,theory,1.0
CFOC369M,Biomedical Signal Processing,theory,3.0
CFOC370M,Microprocessors And Microcontrollers,theory,3.0
CFOC371M,Recent Advances in Transmission Insulator,theory,1.0
CFOC372M,VLSI Signal Processing,theory,2.0
CFOC373M,Analog Electronic Circuits,theory,3.0
CFOC374M,Network Analysis,theory,3.0
CFOC375M,Optical Engineering,theory,3.0
CFOC376M,Mathematical Methods and Techniques in Signal Processing,theory,3.0
CFOC377M,A brief introduction of Micro â€“ Sensors,theory,1.0
